CLAVE,irs_value,i_sdsalud,irs_wave
15040,-0.447412,25.515429,2020
15041,0.478251,6.069498,2020
15042,-0.07735,31.277827,2020
15043,-0.59134,33.802587,2020
15044,-1.210044,30.899812,2020
15045,-0.375665,28.780326,2020
15046,-0.853303,32.560246,2020
15047,-0.028475,38.864447,2020
15048,-0.48921,28.918341,2020
15049,-0.30796,25.388903,2020
15050,-0.527987,30.015489,2020
15051,-1.057189,30.309346,2020
15052,-0.158165,31.777659,2020
15053,-1.119372,32.708265,2020
15054,-1.355831,27.613317,2020
15055,-1.008261,38.929529,2020
15056,0.657331,22.663129,2020
15057,-1.22168,30.89831,2020
15058,-1.231234,35.267469,2020
15059,-1.09511,36.132231,2020
15060,-1.055037,33.287429,2020
15061,-0.757059,22.538885,2020
15062,-1.054562,39.081592,2020
15063,-0.239844,34.668581,2020
15064,-0.175375,27.587514,2020
15065,-0.859412,42.679805,2020
15066,-0.329547,3.496218,2020
15067,-0.611617,46.710519,2020
15068,-0.573797,42.783823,2020
15069,-1.182342,29.494035,2020
15070,-0.886248,39.690813,2020
15071,-0.722621,29.983317,2020
15072,-0.910729,18.876784,2020
15073,-1.18234,22.911583,2020
15074,0.899887,31.344705,2020
15075,-0.949243,32.19793,2020
15076,-1.016994,32.749595,2020
15077,-0.16127,9.234907,2020
15078,-0.453717,8.664817,2020
15079,-0.515633,23.765971,2020
15080,0.527459,13.091737,2020
15081,-1.375786,32.801281,2020
15082,-0.219724,23.291542,2020
15083,-0.767961,22.271762,2020
15084,-0.800272,35.934668,2020
15085,-0.137204,38.241937,2020
15086,0.205933,17.204547,2020
15087,-0.18131,40.191555,2020
15088,-0.65363,41.429349,2020
15089,-0.9236,20.582798,2020
15090,-0.529853,35.226143,2020
15091,-1.012769,36.097404,2020
15092,-1.093884,34.156597,2020
15093,-0.907368,34.731605,2020
15094,-0.497324,43.214634,2020
15095,-1.028496,33.551921,2020
15096,-0.971587,44.321203,2020
15097,-0.050802,29.212206,2020
